Date,Disease_Name,Cases,Deaths,Area,,,,
4 March 16,Zika,2,0,Netherlands,,,,
1 March 16,Zika,1,0,Saint Vincent and the Grenadines,,,,
29 February 16,Zika,1,0,Trinidad and Tobago ,,,,
22 February 16,Zika,1,0,Bonaire,,,,
22 February 16,Zika,7,0,Aruba,,,,
12 February 16,Zika,2,0,United States of America,,,,
8 February 16,Zika,1,0,Maldives,,,,
8 February 16,Zika,1,0,Costa Rica,,,,
8 February 16,Zika,1,0,Curaçao,,,,
8 February 16,Zika,1,0,Jamaica,,,,
8 February 16,Zika,2,0,Nicaragua,,,,
29 January 16,Zika,1,0,"United States Virgin Islands

",,,,
27 January 16,Zika,10,0,Dominican Republic,,,,
21 January 16,Zika,1,0,Saint Marchtin and Guadeloupe,,,,
21 January 16,Zika,5,0, Haiti,,,,
20 January 16,Zika,1,0,Bolivia,,,,
20 January 16,Zika,1,0,Guyana,,,,
20 January 16,Zika,3,0,Barbados,,,,
20 January 16,Zika,2,0,Ecuador,,,,
8 January 16,Zika,1,0,Puerto Rico,,,,
8 January 16,Zika,4,0,French Guiana and Marchtinique,,,,
22 December 15,Zika,4,0,Panama,,,,
21 December 15,Zika,2,0,Honduras,,,,
21 December 15,Zika,4744,0,Cape Verde,,,,
5 December 15,Zika,3,0,Panama,,,,
3 December 15,Zika,7,0,Venezuela,,,,
3 December 15,Zika,3,0,Mexico,,,,
3 December 15,Zika,6,0,Paraguay,,,,
27 November 15,Zika,1,0,Guatemala,,,,
27 November 15,Zika,3,0,El Salvador,,,,
13 November 15,Zika,4,0,Suriname,,,,
11 November 15,Zika,2,0,Suriname,,,,
21 October 15,Zika,9,0,Colombia,,,,
21 October 15,Zika,12,0,Brazil,,,,
15 January 18,Hepatitis,237,0,Namibia,,,,
12 July 17,Hepatitis,21,0,Nigeria,,,,
12 July 17,Hepatitis,112,0,Ngala,,,,
12 July 17,Hepatitis,19,0,Mobbar,,,,
12 July 17,Hepatitis,14,0,Monguno,,,,
7 June 17,Hepatitis,1173,0,European,,,,
7 June 17,Hepatitis,706,0,Chile,,,,
5 May 17,Hepatitis,282,27,Niger,,,,
24 January 17,Hepatitis,693,11,Chad,,,,
28 September 04,Hepatitis,6861,87,Sudan,,,,
27 September 04,Hepatitis,1142,46,Chad,,,,
15 September 04,Hepatitis,1292,42,Chad,,,,
8 September 04,Hepatitis,3753,55,Sudan,,,,
6 September 04,Hepatitis,1077,35,"Chad
",,,,
31 August 04,Hepatitis,959,30,"Chad
",,,,
30 August 04,Hepatitis,2431,41,Sudan,,,,
19 August 04,Hepatitis,672,21,Chad,,,,
10 August 04,Hepatitis,625,22,Sudan,,,,
14 January 00,Yellow fever,3,0,Brazil,,,,
20 January 00,Yellow fever,0,,Brazil,,,,
28 February 01,Yellow fever,9,,Brazil,,,,
24 January 00,Yellow fever,21,0,Brazil,,,,
25 February 00,Yellow fever,1,0,Netherlands,,,,
19 May 00,Yellow fever,2,0,Nigeria,,,,
24 August 00,Yellow fever,29,0,Liberia,,,,
11 September 00,Yellow fever,102,0,Liberia,,,,
29 December 00,Yellow fever,512,190,Guinea,,,,
7 March 01,Yellow fever,35,6,Brazil,,,,
20 March 01,Yellow fever,48,9,Brazil,,,,
31 May 01,Yellow fever,4,3,Côte d'Ivoire,,,,
7 June 01,Yellow fever,8,2,Peru,,,,
23 August 01,Yellow fever,3,0,Liberia,,,,
4 September 01,Yellow fever,128,14,Côte d'Ivoire,,,,
13 September 01,Yellow fever,143,0,Côte d'Ivoire,,,,
18 September 01,Yellow fever,153,20,Côte d'Ivoire,,,,
25 September 01,Yellow fever,169,20,Côte d'Ivoire,,,,
25 September 01,Yellow fever,18,2,Guinea,,,,
12 November 01,Yellow fever,1,0,Belgium,,,,
21 January 02,Yellow fever,18,0,Senegal,,,,
4 October 02,Yellow fever,12,,Senegal,,,,
11 October 02,Yellow fever,15,2,Senegal,,,,
18 October 02,Yellow fever,18,2,Senegal,,,,
25 October 02,Yellow fever,41,4,Senegal,,,,
1 November 02,Yellow fever,45,4,Senegal,,,,
29 November 02,Yellow fever,60,1,Senegal,,,,
17 January 03,Yellow fever,24,5,Brazil,,,,
3 February 03,Yellow fever,43,23,Guinea,,,,
27 May 03,Yellow fever,178,27,Sudan,,,,
19 August 03,Yellow fever,45,0,Sierra Leone,,,,
11 March 04,Yellow fever,39,8,Liberia,,,,
11 May 04,Yellow fever,25,0,Burkina Faso,,,,
14 September 04,Yellow fever,2,1,Venezuela,,,,
20 Dcember 2017,Yellow fever,778,262,Brazil,,,,
15 June 17,Yellow fever,1376,483,Brazil,,,,
10 January 19,Yellow fever,336,8,Brazil,,,,
18 December 18,Yellow fever,1,0,Kingdom of the Netherlands,,,,
28 February 18,Yellow fever,723,237,Brazil,,,,
28 February 18,Yellow fever,314,103,Minas Gerais,,,,
28 February 18,Yellow fever,307,95,São Paulo,,,,
28 February 18,Yellow fever,96,38,Rio de Januaryeiro ,,,,
28 February 18,Yellow fever,5,0,Espírito Santo,,,,
30 August 17,Yellow fever,1,0,French Guiana,,,,
28 March 17,Yellow fever,1,0,Suriname,,,,
24 February 17,Yellow fever,1336,215,Brazil,,,,
13 January 17,Yellow fever,110,30,Brazil,,,,
2 June 16,Yellow fever,700,63,Democratic Republic of the Congo,,,,
2 May 16,Yellow fever,30,7,Uganda,,,,
22 April 16,Yellow fever,2,0,China,,,,
13 April 16,Yellow fever,1708,238,Angola,,,,
24 April 14,Yellow fever,6,0,Democratic Republic of the Congo,,,,
3 December 13,Yellow fever,44,14,Sudan,,,,
8 October 13,Yellow fever,15,3,Cameroon,,,,
14 February 13,Yellow fever,138,9,Chad,,,,
12 December 12,Yellow fever,2,0,Republic of Congo,,,,
6 December 12,Yellow fever,732,165,Sudan,,,,
22 November 12,Yellow fever,459,116,Sudan,,,,
3 February 12,Yellow fever,27,3,Cameroon,,,,
3 February 12,Yellow fever,3,2,Ghana,,,,
25 January 11,Yellow fever,12,0,Côte d'Ivoire,,,,
19 January 11,Yellow fever,3,,Uganda,,,,
27 May 10,Yellow fever,1,0,Cameroon,,,,
8 January 10,Yellow fever,5,0,Côte d'Ivoire,,,,
6 May 09,Yellow fever,5,3,Liberia5 Octoberober 2018,Cholera,841,31,Zimbabwe
5 October 18,Cholera,364,9,Zimbabwe,,,,
20 September 18,Cholera,537,79,Algeria,,,,
14 September 18,Cholera,333,53,Democratic Republic of the Congo,,,,
14 June 18,Cholera,352,9,United Republic of Tanzania,,,,
29 March 18,Cholera,609,36,Kenya,,,,
2 March 18,Cholera,632,45,Kenya,,,,
19 February 18,Cholera,573,1,Iraq,,,,
12 January 18,Cholera,269,93,United Republic of Tanzania,,,,
11 December 17,Cholera,295,38,United Republic of Tanzania,,,,
11 December 17,Cholera,929,91,Iraq,,,,
21 July 17,Cholera,419,46,Iraq,,,,
15 December 15,Cholera,493,42,United Republic of Tanzania,,,,
26 November 15,Cholera,89,27,Mexico,,,,
26 November 15,Cholera,194,29,Mexico,,,,
21 October 15,Cholera,112,96,Mexico,,,,
12 October 15,Cholera,551,33,Mexico,,,,
28 September 15,Cholera,398,85,the Democratic Republic of Congo,,,,
11 September 15,Cholera,14,87,the Democratic Republic of Congo,,,,
30 May 14,Cholera,873,97,the Republic of Congo,,,,
25 November 13,Cholera,801,82,Haiti,,,,
13 November 13,Cholera,279,84,Haiti,,,,
28 October 13,Cholera,685,33,Haiti,,,,
19 October 13,Cholera,56,11,Haiti,,,,
8 October 12,Cholera,690,60,Haiti,,,,
18 September 12,Cholera,540,82,Pakistan,,,,
8 September 12,Cholera,631,84,Central Africa,,,,
30 August 12,Cholera,184,30,Zimbabwe,,,,
22 August 12,Cholera,552,88,Zimbabwe,,,,
23 July 12,Cholera,249,9,Zimbabwe,,,,
22 July 11,Cholera,604,88,Zimbabwe,,,,
24 November 10,Cholera,535,6,Zimbabwe,,,,
17 November 10,Cholera,904,85,Zimbabwe,,,,
4 November 10,Cholera,998,15,Iraq,,,,
28 October 10,Cholera,90,24,Guinea,,,,
26 October 10,Cholera,197,13,Bissau,,,,
25 October 10,Cholera,33,42,Iraq,,,,
8 October 10,Cholera,170,84,Iraq,,,,
9 June 09,Cholera,384,79,Iraq,,,,
23 March 09,Cholera,799,60,Iraq,,,,
20 February 09,Cholera,215,88,Iraq,,,,
30 January 09,Cholera,330,1,Sudan,,,,
26 December 08,Cholera,917,63,Angola,,,,
2 December 08,Cholera,190,24,Angola,,,,
29 September 08,Cholera,293,65,Angola,,,,
24 September 08,Cholera,219,21,Angola,,,,
10 September 08,Cholera,935,43,Angola,,,,
3 October 07,Cholera,446,47,Sudan,,,,
25 September 07,Cholera,944,30,Angola,,,,
25 September 07,Cholera,127,3,Sudan,,,,
14 September 07,Cholera,215,34,Sudan,,,,
10 September 07,Cholera,33,36,Sudan,,,,
21 June 06,Cholera,454,84,West Africa,,,,
21 June 06,Cholera,676,13,West Africa,,,,
9 June 06,Cholera,216,15,Niger,,,,
6 June 06,Cholera,18,42,Afghanistan,,,,
25 May 06,Cholera,595,3,Senegal,,,,
18 May 06,Cholera,216,15,Nigeria,,,,
18 May 06,Cholera,989,49,Senegal,,,,
10 May 06,Cholera,866,23,Senegal,,,,
22 March 06,Cholera,448,34,Chad,,,,
6 March 06,Cholera,259,99,Chad,,,,
24 February 06,Cholera,984,98,Niger,,,,
23 September 05,Cholera,460,71,Mozambique,,,,
26 August 05,Cholera,439,15,Chad,,,,
29 July 05,Cholera,758,55,Mozambique,,,,
15 July 05,Cholera,369,95,Zambia,,,,
8 July 05,Cholera,898,21,Benin,,,,
21 June 05,Cholera,675,80,Liberia,,,,
27 May 05,Cholera,821,91,France,,,,
13 May 05,Cholera,558,95,Liberia,,,,
20 April 05,Cholera,942,62,Iraq,,,,
8 April 05,Cholera,475,54,Mozambique,,,,
31 March 05,Cholera,175,53,Democratic Republic of the,,,,
29 March 05,Cholera,31,33,Congo,,,,
3 December 04,Cholera,640,38,South Africa,,,,
12 November 04,Cholera,389,39,Mozambique,,,,
2 November 04,Cholera,583,18,Uganda,,,,
27 September 04,Cholera,903,31,Iraq,,,,
1 September 04,Cholera,673,91,Iraq,,,,
15 June 04,Cholera,983,64,Zambia,,,,
2 June 04,Cholera,682,80,Iraq,,,,
23 March 04,Cholera,614,99,Democratic Republic of the,,,,
18 February 04,Cholera,87,39,Congo,,,,
28 January 04,Cholera,384,75,Democratic Republic of Congo,,,,
17 December 03,Cholera,961,57,Liberia,,,,
4 December 03,Cholera,380,44,Niger,,,,
25 November 03,Cholera,578,20,Burundi,,,,
20 November 03,Cholera,854,47,Mozambique,,,,
30 September 03,Cholera,217,91,Democratic Republic of Congo,,,,
2 September 03,Cholera,113,88,Democratic Republic of Congo,,,,
25 August 03,Cholera,575,95,Nigeria,,,,
18 August 03,Cholera,398,93,Nigeria,,,,
18 August 03,Cholera,764,99,West Africa,,,,
13 August 03,Cholera,44,95,West Africa,,,,
15 July 03,Cholera,293,21,Chad,,,,
3 July 03,Cholera,293,29,Chad,,,,
19 June 03,Cholera,240,76,Chad,,,,
16 June 03,Cholera,90,11,India,,,,
13 June 03,Cholera,193,44,Chad,,,,
23 May 03,Cholera,725,92,Chad,,,,
21 May 03,Cholera,895,29,Afghanistan,,,,
19 May 03,Cholera,342,61,Tanzania,,,,
14 May 03,Cholera,234,80,South Africa,,,,
13 May 03,Cholera,794,4,South Africa,,,,
9 May 03,Cholera,836,56,South Africa,,,,
8 May 03,Cholera,518,85,South Africa,,,,
8 January 03,Cholera,980,49,South Africa,,,,
15 November 02,Cholera,87,90,South Africa,,,,
16 September 02,Cholera,279,45,South Africa,,,,
13 September 02,Cholera,112,26,South Africa,,,,
13 September 02,Cholera,327,57,South Africa,,,,
6 September 02,Cholera,250,56,South Africa,,,,
29 August 02,Cholera,727,71,Somalia,,,,
14 August 02,Cholera,36,98,South Africa,,,,
13 August 02,Cholera,652,85,South Africa,,,,
24 July 02,Cholera,982,44,South Africa,,,,
19 July 02,Cholera,737,32,South Africa,,,,
28 June 02,Cholera,204,24,South Africa,,,,
26 March 02,Cholera,380,11,South Africa,,,,
15 March 02,Cholera,645,98,Afghanistan,,,,
5 March 02,Cholera,423,49,the Federated States,,,,
3 December 01,Cholera,35,36,the Federated States,,,,
27 November 01,Cholera,823,46,Micronesia,,,,
26 September 01,Cholera,174,85,Somalia,,,,
17 September 01,Cholera,187,61,Madagascar,,,,
5 September 01,Cholera,834,7,Comoros,,,,
22 August 01,Cholera,602,44,Democratic Republic of the,,,,
15 August 01,Cholera,671,59,Congo,,,,
14 August 01,Cholera,779,21,Democratic Republic of the,,,,
6 August 01,Cholera,62,99,Congo,,,,
26 July 01,Cholera,157,3,Fiji,,,,
26 July 01,Cholera,883,49,Rwanda,,,,
26 July 01,Cholera,611,53,Zambia,,,,
17 April 01,Cholera,383,17,Somalia,,,,
28 March 01,Cholera,169,28,Afghanistan,,,,
16 March 01,Cholera,167,66,Ghana,,,,
5 March 01,Cholera,369,94,Madagascar,,,,
23 February 01,Cholera,147,28,Niger,,,,
16 February 01,Cholera,682,84,Niger,,,,
5 February 01,Cholera,829,36,Afghanistan,,,,
26 January 01,Cholera,846,58,Zambia,,,,
16 January 01,Cholera,763,42,Cambodia,,,,
9 January 01,Cholera,552,7,Nigeria,,,,
29 December 00,Cholera,520,54,Somalia,,,,
19 December 00,Cholera,8,97,Madagascar,,,,
6 December 00,Cholera,126,97,Brazil,,,,
27 November 00,Cholera,46,45,Congo,,,,
22 November 00,Cholera,635,36,Somalia,,,,
20 November 00,Cholera,561,47,Zambia,,,,
10 November 00,Cholera,468,70,Kenya,,,,
3 November 00,Cholera,330,5,Mozambique,,,,
27 October 00,Cholera,927,78,Somalia,,,,
20 October 00,Cholera,707,50,Brazil,,,,
18 October 00,Cholera,820,26,Sri Lanka,,,,
13 October 00,Cholera,709,51,Sulaimania,,,,
12 September 00,Cholera,573,90,Iraq,,,,
8 September 00,Cholera,49,11,Somalia,,,,
6 July 00,Cholera,624,89,West Africa,,,,
2 May 00,Cholera,185,70,Uganda,,,,
16 March 00,Cholera,559,43,Armenia,,,,
8 March 00,Cholera,212,59,Comoros,,,,
28 January 00,Cholera,343,33,Afghanistan,,,,
22 December 99,Cholera,31,20,Bhutan,,,,
10 December 99,Cholera,499,2,Afghanistan,,,,
9 December 99,Cholera,590,15,Afghanistan,,,,
19 November 99,Cholera,983,97,Mozambique,,,,
18 November 99,Cholera,261,23,Update,,,,
27 October 99,Cholera,198,32,Liberia,,,,
14 September 99,Cholera,200,36,Uganda,,,,
8 September 99,Cholera,888,57,Cambodia,,,,
7 September 99,Cholera,16,38,the Democratic Republic of the Congo,,,,
2 September 99,Cholera,527,34,Rwanda,,,,
9 August 99,Cholera,40,58,Uganda,,,,
6 August 99,Cholera,644,39,Zimbabwe,,,,
3 August 99,Cholera,553,50,Peru,,,,
20 July 99,Cholera,317,32,Mozambique,,,,
23 June 99,Cholera,117,12,Mozambique,,,,
16 June 99,Cholera,5,42,Congo,,,,
21 May 99,Cholera,657,70,Congo,,,,
12 May 99,Cholera,303,63,Mozambique,,,,
30 April 99,Cholera,844,36,Chile,,,,
14 April 99,Cholera,739,81,the United Republic of Tanzania,,,,
8 April 99,Cholera,405,94,the Democratic Republic of Congo,,,,
17 March 99,Cholera,46,6,Mozambique,,,,
26 February 99,Cholera,950,39,Djibouti,,,,
12 February 99,Cholera,882,94,Djibouti,,,,
27 January 99,Cholera,640,71,Mozambique,,,,
20 January 99,Cholera,113,61,Mozambique,,,,
19 January 99,Cholera,666,62,Mozambique,,,,
18 December 98,Cholera,23,24,Kenya,,,,
25 November 98,Cholera,878,62,Kenya,,,,
25 November 98,Cholera,715,88,Mozambique,,,,
26 October 98,Cholera,235,19,Central African Republic,,,,
23 October 98,Cholera,491,52,Somalia,,,,
22 October 98,Cholera,54,72,Somalia,,,,
16 October 98,Cholera,831,7,Tanzania,,,,
15 October 98,Cholera,94,67,Somalia,,,,
14 October 98,Cholera,811,73,Zaire,,,,
23 September 98,Cholera,810,25,Bolivia,,,,
22 September 98,Cholera,456,73,Burundi,,,,
21 September 98,Cholera,136,67,Burundi,,,,
11 September 98,Cholera,554,75,Rwanda,,,,
9 September 98,Cholera,833,86,Zaire,,,,
2 September 98,Cholera,696,47,Kigoma,,,,
31 August 98,Cholera,486,75,Tanzania,,,,
21 August 98,Cholera,345,39,Zaire,,,,
19 August 98,Cholera,341,69,Mongolia,,,,
19 August 98,Cholera,0,77,Liberia,,,,
14 August 98,Cholera,167,75,Mongolia,,,,
3 August 98,Cholera,149,58,Mongolia,,,,
20 July 98,Cholera,84,84,Chad,,,,
15 July 98,Cholera,294,82,Nigeria,,,,
3 July 98,Cholera,321,60,Chad,,,,
30 June 98,Cholera,90,36,Zaire,,,,
19 May 98,Cholera,457,34,Philippines,,,,
19 May 98,Cholera,210,35,Malaysia,,,,
7 April 98,Cholera,318,10,Malaysia,,,,
7 April 98,Cholera,649,49,Liberia,,,,
31 March 98,Cholera,461,90,Zaire,,,,
16 March 98,Cholera,875,63,Nigeria,,,,
10 March 98,Cholera,504,47,Senegal,,,,
25 February 98,Cholera,88,44,Nigeria,,,,
20 February 98,Cholera,367,78,Nigeria,,,,
20 February 98,Cholera,479,28,Nigeria,,,,
10 February 98,Cholera,173,23,Ecuador,,,,
10 February 98,Cholera,651,6,Burundi,,,,
3 February 98,Cholera,952,39,Somalia,,,,
3 February 98,Cholera,156,68,Benin,,,,
12 January 98,Cholera,226,77,Chad,,,,
9 January 98,Cholera,193,22,Micronesia,,,,
7 January 98,Cholera,754,17,Africa,,,,
6 January 98,Cholera,135,77,the Democratic Republic of Congo,,,,
26 November 97,Cholera,571,97,South Africa,,,,
26 November 97,Cholera,235,1,Iraq,,,,
21 November 97,Cholera,496,44,Zimbabwe,,,,
19 November 97,Cholera,331,59,Zimbabwe,,,,
14 November 97,Cholera,83,49,Afghanistan,,,,
28 October 97,Cholera,185,2,Bhutan,,,,
28 October 97,Cholera,655,20,Congo,,,,
22 September 97,Cholera,502,75,Mexico,,,,
2 September 97,Cholera,591,22,Brazil,,,,
30 July 97,Cholera,836,93,Zaire,,,,
4 June 97,Cholera,562,26,Zimbabwe,,,,
9 May 97,Cholera,848,10,South Africa,,,,
6 May 97,Cholera,566,48,Nigeria,,,,
15 April 97,Cholera,708,91,Zimbabwe,,,,
15 April 97,Cholera,827,6,Iraq,,,,
22 January 97,Cholera,248,19,the Republic of Congo,,,,
17 January 97,Cholera,898,91,Congo,,,,
9 January 97,Cholera,732,64,Sudan,,,,
13 December 96,Cholera,634,80,India,,,,
6 December 96,Cholera,596,56,Somalia,,,,
15 November 96,Cholera,367,93,South Africa,,,,
17 October 96,Cholera,624,58,Sudan,,,,
12 September 96,Cholera,684,91,South Africa,,,,
21 August 96,Cholera,249,49,Micronesia,,,,
14 August 96,Cholera,486,90,Mongolia,,,,
14 August 96,Cholera,141,52,Mozambique,,,,
13 August 96,Cholera,320,20,Afghanistan,,,,
19 July 96,Cholera,576,49,Kenya,,,,
19 July 96,Cholera,715,79,Mozambique,,,,
5 July 96,Cholera,648,77,Haiti,,,,
5 July 96,Cholera,49,45,Somalia,,,,
14 June 96,Cholera,547,25,Iraq,,,,
14 June 96,Cholera,321,77,Mozambique,,,,
20 May 96,Cholera,394,26,Liberia,,,,
26 April 96,Cholera,561,23,Democratic Republic of the,,,,
4 April 96,Cholera,220,17,Zimbabwe,,,,
15 March 96,Cholera,829,37,Kenya,,,,
15 March 96,Cholera,56,39,the Federated States,,,,
7 March 96,Cholera,204,79,Senegal,,,,
6 March 96,Cholera,611,65,Sudan,,,,
6 March 96,Cholera,462,58,Somalia,,,,
1 March 96,Cholera,393,3,Zimbabwe,,,,
29 February 96,Cholera,764,19,Mozambique,,,,
15 February 96,Cholera,291,78,Mozambique,,,,
8 February 96,Cholera,774,67,Iraq,,,,
22 January 96,Cholera,196,20,Democratic Republic of the,,,,
22 January 96,Cholera,435,21,Brazil,,,,
22 February 18,Cholera,250,68,China,,,,
26 October 17,Cholera,186,83,China,,,,
13 September 17,Cholera,678,52,China,,,,
5 September 17,Cholera,9,31,China,,,,
7 August 17,Cholera,65,83,China,,,,
19 July 17,Cholera,228,73,China,,,,
28 June 17,Cholera,197,35,China,,,,
8 June 17,Cholera,20,86,China,,,,
23 May 17,Cholera,203,74,China,,,,
18 May 17,Cholera,497,90,China,,,,
9 May 17,Cholera,60,96,China,,,,
1 May 17,Cholera,129,87,China,,,,
20 April 17,Cholera,125,21,China,,,,
18 April 17,Cholera,657,38,China,,,,
5 April 17,Cholera,820,41,China,,,,
3 April 17,Cholera,636,22,China,,,,
23 March 17,Cholera,354,49,China,,,,
16 March 17,Cholera,4,92,China,,,,
15 March 17,Cholera,641,93,China,,,,
27 February 17,Cholera,730,60,China,,,,
22 February 17,Cholera,146,30,China,,,,
20 February 17,Cholera,432,31,China,,,,
18 January 17,Cholera,368,56,China,,,,
17 January 17,Cholera,592,76,China,,,,
3 January 17,Cholera,396,68,China,,,,
23 December 16,Cholera,735,10,China,,,,
19 December 16,Cholera,775,37,China,,,,
19 December 16,Cholera,332,64,China,,,,
7 December 16,Cholera,552,85,China,,,,
17 November 16,Cholera,593,71,China,,,,
17 August 16,Cholera,132,51,China,,,,
22 July 16,Cholera,844,58,China,,,,
1 July 16,Cholera,863,47,China,,,,
8 June 16,Cholera,32,62,China,,,,
17 May 16,Cholera,870,49,China,,,,
10 May 16,Cholera,817,32,China,,,,
6 May 16,Cholera,65,27,China,,,,
3 May 16,Cholera,692,7,China,,,,
26 April 16,Cholera,492,68,China,,,,
29 March 16,Cholera,823,41,China,,,,
23 March 16,Cholera,191,50,China,,,,
23 March 16,Cholera,512,3,China,,,,
25 February 16,Cholera,705,32,China,,,,
10 February 16,Cholera,741,12,China,,,,
26 January 16,Cholera,8,63,China,,,,
19 January 16,Cholera,539,23,China,,,,
11 January 16,Cholera,297,5,China,,,,
4 January 16,Cholera,758,79,China,,,,
17 December 15,Cholera,879,86,China,,,,
13 November 15,Cholera,7,71,China,,,,
19 October 15,Cholera,477,13,China,,,,
18 July 15,Cholera,105,2,China,,,,
14 July 15,Cholera,636,32,China,,,,
15 June 15,Cholera,308,47,China,,,,
14 May 15,Cholera,687,99,China,,,,
15 April 15,Cholera,5,47,China,,,,
11 March 15,Cholera,914,52,China,,,,
26 February 15,Cholera,527,8,China,,,,
12 February 15,Cholera,265,78,China,,,,
8 February 15,Cholera,454,5,China,,,,
1 February 15,Cholera,127,96,China,,,,
27 January 15,Cholera,734,53,China,,,,
19 January 15,Cholera,935,24,China,,,,
30 December 14,Cholera,522,76,China,,,,
28 December 14,Cholera,868,26,China,,,,
24 December 14,Cholera,427,79,China,,,,
18 November 14,Cholera,979,43,China,,,,
29 October 14,Cholera,98,83,A(H5N1,,,,
4 September 14,Cholera,700,87,China,,,,
